中文名称,基础分数,英文名称,平均重量 (kg)
吉娃娃,1,Chihuahua,2.2
约克夏梗,1.5,Yorkshire Terrier,2.6
博美犬,1.5,Pomeranian,2.6
马尔济斯犬,1.5,Maltese,2.7
玩具贵宾犬,2,Toy Poodle,2.9
迷你贵宾犬,2.5,Miniature Poodle,6.8
法国斗牛犬,2,French Bulldog,10.5
巴哥犬,2,Pug,7.0
腊肠犬,2,Dachshund,9.0
比熊犬,2,Bichon Frise,4.2
西施犬,2,Shih Tzu,5.8
杰克罗素梗,2,Jack Russell Terrier,6.5
比格犬,2.5,Beagle,10.0
柯基犬,2.5,Pembroke Welsh Corgi / Cardigan Welsh Corgi,12.5
柴犬,2.5,Shiba Inu,9.5
标准贵宾犬,3,Standard Poodle,26.0
可卡犬,3,Cocker Spaniel,12.5
西高地白梗,3,West Highland White Terrier,7.5
边境牧羊犬,3,Border Collie,17.0
澳大利亚牧羊犬,3.5,Australian Shepherd,23.5
德国牧羊犬,3.5,German Shepherd Dog,31.0
拉布拉多寻回犬,3.5,Labrador Retriever,30.5
金毛寻回犬,4,Golden Retriever,29.5
西伯利亚哈士奇,4,Siberian Husky,21.5
萨摩耶犬,4,Samoyed,25.0
伯恩山犬,4,Bernese Mountain Dog,42.5
阿拉斯加雪橇犬,4.5,Alaskan Malamute,39.5
罗威纳犬,4,Rottweiler,47.5
大丹犬,5,Great Dane,72.0
圣伯纳犬,5,Saint Bernard,68.0
纽芬兰犬,5,Newfoundland,60.0
阿富汗猎犬,5,Afghan Hound,25.0
古英国牧羊犬,4.5,Old English Sheepdog,37.5
喜乐蒂牧羊犬,3.5,Shetland Sheepdog,9.0
比利时马林诺斯犬,3.5,Belgian Malinois,25.0
达尔马提亚犬,3,Dalmatian,26.0
英国斗牛犬,2.5,Bulldog,21.5
波士顿梗,2,Boston Terrier,7.8
中国冠毛犬,1.5,Chinese Crested Dog,3.8
中国沙皮犬,3.5,Chinese Shar-Pei,21.5
松狮犬,4,Chow Chow,26.0
北京犬,1.5,Pekingese,4.5
西藏獒犬,5,Tibetan Mastiff,59.0
拉萨犬,2,Lhasa Apso,6.0
西藏梗,3,Tibetan Terrier,10.5
秋田犬,4,Akita,45.5
日本柴犬,2.5,Shiba Inu,9.5
日本银狐犬,2,Japanese Spitz,7.5
日本狆,1.5,Japanese Chin,3.0
韩国珍岛犬,3.5,Korea Jindo Dog,20.0
泰国邦考犬,3.5,Thai Bangkaew Dog,20.0
艾尔谷梗,3,Airedale Terrier,27.5
美国斗牛犬,4,American Bulldog,44.0
美国爱斯基摩犬,2,American Eskimo Dog,9.5
安纳托利亚牧羊犬,4.5,Anatolian Shepherd Dog,53.0
澳洲牧牛犬,3,Australian Cattle Dog,19.5
巴吉度猎犬,2.5,Basset Hound,22.5
比利时牧羊犬,3.5,Belgian Shepherd Dog,25.0
血猎犬,4,Bloodhound,45.0
波音达犬,3.5,Pointer,25.0
拳师犬,3,Boxer,28.5
布列塔尼犬,3,Brittany,16.0
布鲁塞尔格里芬犬,2,Brussels Griffon,4.5
牛头梗,3,Bull Terrier,27.5
凯恩梗,2,Cairn Terrier,7.0
骑士查理王小猎犬,2,Cavalier King Charles Spaniel,7.0
切萨皮克湾寻回犬,4,Chesapeake Bay Retriever,30.5
克伦伯犬,3,Clumber Spaniel,32.0
卷毛寻回犬,4,Curly-Coated Retriever,31.5
丹迪丁蒙梗,2.5,Dandie Dinmont Terrier,9.5
杜宾犬,3.5,Doberman Pinscher,37.5
英国可卡犬,3,English Cocker Spaniel,13.5
英国狐梗,3.5,English Foxhound,30.5
英国指示犬,3.5,English Pointer,27.0
英国塞特犬,3.5,English Setter,30.5
英国史宾格犬,3,English Springer Spaniel,21.5
平毛寻回犬,3.5,Flat-Coated Retriever,31.5
法国水猎犬,4,Barbet,23.5
德国短毛指示犬,3.5,German Shorthaired Pointer,26.0
德国钢毛指示犬,3.5,German Wirehaired Pointer,28.5
巨型雪纳瑞犬,4,Giant Schnauzer,36.5
灰猎犬,3.5,Greyhound,33.5
哈瓦那犬,2,Havanese,4.6
爱尔兰塞特犬,4,Irish Setter,29.5
爱尔兰水猎犬,4,Irish Water Spaniel,29.5
爱尔兰狼猎犬,5,Irish Wolfhound,47.5
意大利灰猎犬,1.5,Italian Greyhound,4.0
凯斯犬,3,Keeshond,18.0
凯利蓝梗,3,Kerry Blue Terrier,16.5
可蒙犬,5,Komondor,43.0
库瓦兹犬,4.5,Kuvasz,42.0
拉哥托罗曼诺洛犬,3.5,Lagotto Romagnolo,13.5
湖畔梗,2.5,Lakeland Terrier,7.5
兰伯格犬,5,Leonberger,61.0
低地犬,2,Lowchen,6.8
曼彻斯特梗,2,Manchester Terrier,7.5
马士提夫犬,5,Mastiff,84.0
迷你雪纳瑞犬,2.5,Miniature Schnauzer,7.0
那不勒斯獒犬,5,Neapolitan Mastiff,60.0
挪威猎麋犬,3.5,Norwegian Elkhound,22.5
帕皮永犬,1.5,Papillon,3.2
帕森罗素梗,2,Parson Russell Terrier,7.0
秘鲁无毛犬,2,Peruvian Hairless Dog,14.5
法老猎犬,3.5,Pharaoh Hound,22.5
波兰低地牧羊犬,4,Polish Lowland Sheepdog,18.5
葡萄牙水犬,4,Portuguese Water Dog,23.0
普利犬,4.5,Puli,12.5
普米犬,3.5,Pumi,10.5
罗得西亚脊背犬,4,Rhodesian Ridgeback,35.5
罗特韦尔犬,4,Rottweiler,47.5
苏格兰梗,2.5,Scottish Terrier,9.0
西里汉梗,2.5,Sealyham Terrier,10.0
苏格兰猎鹿犬,4.5,Scottish Deerhound,42.0
软毛小麦梗,3,Soft Coated Wheaten Terrier,17.0
西班牙水犬,4,Spanish Water Dog,18.5
斯塔福郡斗牛梗,3,Staffordshire Bull Terrier,14.0
标准雪纳瑞犬,3.5,Standard Schnauzer,17.0
萨路基猎犬,4.5,Saluki,22.5
威玛猎犬,3.5,Weimaraner,32.5
惠比特犬,2.5,Whippet,14.5
线毛狐梗,2.5,Wire Fox Terrier,8.0
无毛犬,2,Xoloitzcuintli,15.0
金毛贵宾混(Goldendoodle),4,Goldendoodle,32.5
拉布拉多贵宾混(Labradoodle),3.5,Labradoodle,29.0
伯恩山贵宾混(Bernedoodle),4,Bernedoodle,37.5
可卡贵宾混(Cockapoo),3,Cockapoo,9.0
骑士查理贵宾混(Cavapoo),2.5,Cavapoo,7.5
马尔济斯贵宾混(Maltipoo),2,Maltipoo,4.5
雪纳瑞贵宾混(Schnoodle),3,Schnoodle,19.5
老英国牧羊贵宾混(Sheepadoodle),4,Sheepadoodle,36.0
澳洲牧羊贵宾混(Aussiedoodle),3.5,Aussiedoodle,28.0
Puggle,2,Puggle (Pug + Beagle),10.5
Pomsky,2.5,Pomsky (Pomeranian + Siberian Husky),10.5
Chiweenie,1.5,Chiweenie (Chihuahua + Dachshund),4.5
